Match_ID,Date,Year,Format,Opponent,Venue,City,Result,Margin,Hardik_Batted,Hardik_Bowled,Hardik_Runs,Hardik_Wickets,Event,Match_Number,Data_Source
1122281,2018-02-07,2018,ODI,South Africa,Newlands,Cape Town,Win,124 runs,True,True,14,0,India tour of South Africa,3.0,Raw JSON
1122282,2018-02-10,2018,ODI,South Africa,The Wanderers Stadium,Johannesburg,Loss,5 wickets,True,True,9,1,India tour of South Africa,4.0,Raw JSON
1122283,2018-02-13,2018,ODI,South Africa,St George's Park,Port Elizabeth,Win,73 runs,True,True,0,2,India tour of South Africa,5.0,Raw JSON
1122284,2018-02-16,2018,ODI,South Africa,SuperSport Park,Centurion,Win,8 wickets,False,True,0,1,India tour of South Africa,6.0,Raw JSON
1122285,2018-02-18,2018,T20I,South Africa,The Wanderers Stadium,Johannesburg,Win,28 runs,True,True,13,1,India tour of South Africa,1.0,Raw JSON
1122286,2018-02-21,2018,T20I,South Africa,SuperSport Park,Centurion,Loss,6 wickets,False,True,0,1,India tour of South Africa,2.0,Raw JSON
1122287,2018-02-24,2018,T20I,South Africa,Newlands,Cape Town,Win,7 runs,True,True,21,1,India tour of South Africa,3.0,Raw JSON
EXT_1133983,2018-06-14,2018,Test,Afghanistan,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,Win,innings and 262 runs,True,True,71,0,Afghanistan tour of India,Only Test,Verified scorecard supplement
1140992,2018-06-27,2018,T20I,Ireland,"The Village, Malahide",Dublin,Win,76 runs,True,True,6,0,India tour of Ireland and England,1.0,Raw JSON
1140993,2018-06-29,2018,T20I,Ireland,"The Village, Malahide",Dublin,Win,143 runs,True,True,32,1,India tour of Ireland and England,2.0,Raw JSON
1119543,2018-07-03,2018,T20I,England,Old Trafford,Manchester,Win,8 wickets,False,True,0,1,India tour of Ireland and England,1.0,Raw JSON
1119544,2018-07-06,2018,T20I,England,Sophia Gardens,Cardiff,Loss,5 wickets,True,True,12,1,India tour of Ireland and England,2.0,Raw JSON
1119545,2018-07-08,2018,T20I,England,County Ground,Bristol,Win,7 wickets,True,True,33,4,India tour of Ireland and England,3.0,Raw JSON
1119546,2018-07-12,2018,ODI,England,Trent Bridge,Nottingham,Win,8 wickets,False,True,0,0,India tour of Ireland and England,1.0,Raw JSON
1119547,2018-07-14,2018,ODI,England,Lord's,London,Loss,86 runs,True,True,21,1,India tour of Ireland and England,2.0,Raw JSON
1119548,2018-07-17,2018,ODI,England,Headingley,Leeds,Loss,8 wickets,True,True,21,0,India tour of Ireland and England,3.0,Raw JSON
1119549,2018-08-01,2018,Test,England,Edgbaston,Birmingham,Loss,31 runs,True,True,53,0,India tour of Ireland and England,1.0,Raw JSON
1119550,2018-08-09,2018,Test,England,Lord's,London,Loss,159 runs,True,True,37,3,India tour of Ireland and England,2.0,Raw JSON
1119551,2018-08-18,2018,Test,England,Trent Bridge,Nottingham,Win,203 runs,True,True,70,6,India tour of Ireland and England,3.0,Raw JSON
1119552,2018-08-30,2018,Test,England,The Rose Bowl,Southampton,Loss,60 runs,True,True,4,1,India tour of Ireland and England,4.0,Raw JSON
1153247,2018-09-19,2018,ODI,Pakistan,Dubai International Cricket Stadium,,Win,8 wickets,False,True,0,0,Asia Cup,5.0,Raw JSON
1153693,2019-01-28,2019,ODI,New Zealand,Bay Oval,Mount Maunganui,Win,7 wickets,False,True,0,2,India tour of New Zealand,3.0,Raw JSON
1153694,2019-01-31,2019,ODI,New Zealand,Seddon Park,Hamilton,Loss,8 wickets,True,True,16,0,India tour of New Zealand,4.0,Raw JSON
1153695,2019-02-03,2019,ODI,New Zealand,Westpac Stadium,Wellington,Win,35 runs,True,True,45,2,India tour of New Zealand,5.0,Raw JSON
1153696,2019-02-06,2019,T20I,New Zealand,Westpac Stadium,Wellington,Loss,80 runs,True,True,4,2,India tour of New Zealand,1.0,Raw JSON
1153697,2019-02-08,2019,T20I,New Zealand,Eden Park,Auckland,Win,7 wickets,False,True,0,1,India tour of New Zealand,2.0,Raw JSON
1153698,2019-02-10,2019,T20I,New Zealand,Seddon Park,Hamilton,Loss,4 runs,True,True,21,0,India tour of New Zealand,3.0,Raw JSON
1144490,2019-06-05,2019,ODI,South Africa,The Rose Bowl,Southampton,Win,6 wickets,True,True,15,0,World Cup,8.0,Raw JSON
1144496,2019-06-09,2019,ODI,Australia,Kennington Oval,London,Win,36 runs,True,True,48,0,World Cup,14.0,Raw JSON
1144504,2019-06-16,2019,ODI,Pakistan,Old Trafford,Manchester,Win,89 runs,True,True,26,2,World Cup,22.0,Raw JSON
EXT_2019_AFG_IND_ODI_28,2019-06-22,2019,ODI,Afghanistan,The Rose Bowl,Southampton,Win,11 runs,True,True,7,2,ICC Cricket World Cup 2019,28,Verified scorecard supplement
1144516,2019-06-27,2019,ODI,West Indies,Old Trafford,Manchester,Win,125 runs,True,True,46,1,World Cup,34.0,Raw JSON
1144520,2019-06-30,2019,ODI,England,Edgbaston,Birmingham,Loss,31 runs,True,True,45,0,World Cup,38.0,Raw JSON
1144522,2019-07-02,2019,ODI,Bangladesh,Edgbaston,Birmingham,Win,28 runs,True,True,0,3,World Cup,40.0,Raw JSON
1144526,2019-07-06,2019,ODI,Sri Lanka,Headingley,Leeds,Win,7 wickets,True,True,7,1,World Cup,44.0,Raw JSON
1144528,2019-07-09,2019,ODI,New Zealand,Old Trafford,Manchester,Loss,18 runs,True,True,32,1,World Cup,,Raw JSON
1187005,2019-09-18,2019,T20I,South Africa,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Win,7 wickets,False,True,0,1,South Africa tour of India,2.0,Raw JSON
1187006,2019-09-22,2019,T20I,South Africa,M.Chinnaswamy Stadium,Bengaluru,Loss,9 wickets,True,True,14,1,South Africa tour of India,3.0,Raw JSON
1223955,2020-11-27,2020,ODI,Australia,Sydney Cricket Ground,,Loss,66 runs,True,False,90,0,India tour of Australia,1.0,Raw JSON
1223956,2020-11-29,2020,ODI,Australia,Sydney Cricket Ground,,Loss,51 runs,True,True,28,1,India tour of Australia,2.0,Raw JSON
1223957,2020-12-02,2020,ODI,Australia,Manuka Oval,Canberra,Win,13 runs,True,False,92,0,India tour of Australia,3.0,Raw JSON
1223952,2020-12-04,2020,T20I,Australia,Manuka Oval,Canberra,Win,11 runs,True,False,16,0,India tour of Australia,1.0,Raw JSON
1223953,2020-12-06,2020,T20I,Australia,Sydney Cricket Ground,Sydney,Win,6 wickets,True,False,42,0,India tour of Australia,2.0,Raw JSON
1223954,2020-12-08,2020,T20I,Australia,Sydney Cricket Ground,Sydney,Loss,12 runs,True,False,20,0,India tour of Australia,3.0,Raw JSON
1243388,2021-03-12,2021,T20I,England,Narendra Modi Stadium,Ahmedabad,Loss,8 wickets,True,True,19,0,India v England,1.0,Raw JSON
1243389,2021-03-14,2021,T20I,England,Narendra Modi Stadium,Ahmedabad,Win,7 wickets,False,True,0,0,England tour of India,2.0,Raw JSON
1243390,2021-03-16,2021,T20I,England,Narendra Modi Stadium,Ahmedabad,Loss,8 wickets,True,True,17,0,England tour of India,3.0,Raw JSON
1243391,2021-03-18,2021,T20I,England,Narendra Modi Stadium,Ahmedabad,Win,8 runs,True,True,11,2,England tour of India,4.0,Raw JSON
1243392,2021-03-20,2021,T20I,England,Narendra Modi Stadium,Ahmedabad,Win,36 runs,True,True,39,1,England tour of India,5.0,Raw JSON
1243393,2021-03-23,2021,ODI,England,Maharashtra Cricket Association Stadium,Pune,Win,66 runs,True,False,1,0,England tour of India,1.0,Raw JSON
1243394,2021-03-26,2021,ODI,England,Maharashtra Cricket Association Stadium,Pune,Loss,6 wickets,True,False,35,0,England tour of India,2.0,Raw JSON
1243395,2021-03-28,2021,ODI,England,Maharashtra Cricket Association Stadium,Pune,Win,7 runs,True,True,64,0,England tour of India,3.0,Raw JSON
1262755,2021-07-18,2021,ODI,Sri Lanka,"R Premadasa Stadium, Colombo",Colombo,Win,7 wickets,False,True,0,1,India tour of Sri Lanka,1.0,Raw JSON
1262756,2021-07-20,2021,ODI,Sri Lanka,"R Premadasa Stadium, Colombo",Colombo,Win,3 wickets,True,True,0,0,India tour of Sri Lanka,2.0,Raw JSON
1262757,2021-07-23,2021,ODI,Sri Lanka,"R Premadasa Stadium, Colombo",Colombo,Loss,3 wickets,True,True,19,1,India tour of Sri Lanka,3.0,Raw JSON
1262758,2021-07-25,2021,T20I,Sri Lanka,"R Premadasa Stadium, Colombo",Colombo,Win,38 runs,True,True,10,1,India tour of Sri Lanka,1.0,Raw JSON
1273727,2021-10-24,2021,T20I,Pakistan,Dubai International Cricket Stadium,Dubai,Loss,10 wickets,True,False,11,0,ICC Men's T20 World Cup,16.0,Raw JSON
1273739,2021-10-31,2021,T20I,New Zealand,Dubai International Cricket Stadium,Dubai,Loss,8 wickets,True,True,23,0,ICC Men's T20 World Cup,28.0,Raw JSON
EXT_2021_IND_AFG_T20I_33,2021-11-03,2021,T20I,Afghanistan,Sheikh Zayed Stadium,Abu Dhabi,Win,66 runs,True,True,35,0,ICC Men's T20 World Cup 2021/22,33,Verified scorecard supplement
1273748,2021-11-05,2021,T20I,Scotland,Dubai International Cricket Stadium,Dubai,Win,8 wickets,False,False,0,0,ICC Men's T20 World Cup,37.0,Raw JSON
1273753,2021-11-08,2021,T20I,Namibia,Dubai International Cricket Stadium,Dubai,Win,9 wickets,False,False,0,0,ICC Men's T20 World Cup,42.0,Raw JSON
1278687,2022-06-09,2022,T20I,South Africa,"Arun Jaitley Stadium, Delhi",Delhi,Loss,7 wickets,True,True,31,0,South Africa tour of India,1.0,Raw JSON
1278688,2022-06-12,2022,T20I,South Africa,"Barabati Stadium, Cuttack",Cuttack,Loss,4 wickets,True,True,9,0,South Africa tour of India,2.0,Raw JSON
1278689,2022-06-14,2022,T20I,South Africa,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,Win,48 runs,True,False,31,0,South Africa tour of India,3.0,Raw JSON
1278690,2022-06-17,2022,T20I,South Africa,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,Win,82 runs,True,True,46,0,South Africa tour of India,4.0,Raw JSON
1278691,2022-06-19,2022,T20I,South Africa,"M Chinnaswamy Stadium, Bangalore",Bengaluru,No Result,,False,False,0,0,South Africa tour of India,5.0,Raw JSON
1303307,2022-06-26,2022,T20I,Ireland,"The Village, Malahide, Dublin",Dublin,Win,7 wickets,True,True,24,1,India tour of Ireland,1.0,Raw JSON
1303308,2022-06-28,2022,T20I,Ireland,"The Village, Malahide, Dublin",Dublin,Win,4 runs,True,True,13,0,India tour of Ireland,2.0,Raw JSON
1276904,2022-07-07,2022,T20I,England,"The Rose Bowl, Southampton",Southampton,Win,50 runs,True,True,51,4,India tour of England,1.0,Raw JSON
1276905,2022-07-09,2022,T20I,England,"Edgbaston, Birmingham",Birmingham,Win,49 runs,True,True,12,1,India tour of England,2.0,Raw JSON
1276907,2022-07-12,2022,ODI,England,"Kennington Oval, London",London,Win,10 wickets,False,True,0,0,India tour of England,1.0,Raw JSON
1276908,2022-07-14,2022,ODI,England,"Lord's, London",London,Loss,100 runs,True,True,29,2,India tour of England,2.0,Raw JSON
1276909,2022-07-17,2022,ODI,England,"Old Trafford, Manchester",Manchester,Win,5 wickets,True,True,71,4,India tour of England,3.0,Raw JSON
1317903,2022-07-29,2022,T20I,West Indies,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,Win,68 runs,True,True,1,0,India tour of West Indies,1.0,Raw JSON
1317904,2022-08-01,2022,T20I,West Indies,"Warner Park, Basseterre, St Kitts",Basseterre,Loss,5 wickets,True,True,31,1,India tour of West Indies,2.0,Raw JSON
1317905,2022-08-02,2022,T20I,West Indies,"Warner Park, Basseterre, St Kitts",Basseterre,Win,7 wickets,True,True,4,1,India tour of West Indies,3.0,Raw JSON
1317907,2022-08-07,2022,T20I,West Indies,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,Win,88 runs,True,True,28,0,West Indies v India T20I Series,5.0,Raw JSON
1327270,2022-08-28,2022,T20I,Pakistan,Dubai International Cricket Stadium,Dubai,Win,5 wickets,True,True,33,3,Asia Cup,2.0,Raw JSON
1327276,2022-09-04,2022,T20I,Pakistan,Dubai International Cricket Stadium,Dubai,Loss,5 wickets,True,True,0,1,Asia Cup,8.0,Raw JSON
1327277,2022-09-06,2022,T20I,Sri Lanka,Dubai International Cricket Stadium,Dubai,Loss,6 wickets,True,True,17,0,Asia Cup,9.0,Raw JSON
1327503,2022-09-20,2022,T20I,Australia,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,Loss,4 wickets,True,True,71,0,Australia tour of India,1.0,Raw JSON
1327504,2022-09-23,2022,T20I,Australia,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Nagpur,Win,6 wickets,True,True,9,0,Australia tour of India,2.0,Raw JSON
1327505,2022-09-25,2022,T20I,Australia,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Win,6 wickets,True,True,25,0,Australia tour of India,3.0,Raw JSON
1298150,2022-10-23,2022,T20I,Pakistan,Melbourne Cricket Ground,Melbourne,Win,4 wickets,True,True,40,3,ICC Men's T20 World Cup,16.0,Raw JSON
1298157,2022-10-27,2022,T20I,Netherlands,Sydney Cricket Ground,Sydney,Win,56 runs,False,True,0,0,ICC Men's T20 World Cup,23.0,Raw JSON
1298164,2022-10-30,2022,T20I,South Africa,Perth Stadium,Perth,Loss,5 wickets,True,True,2,1,ICC Men's T20 World Cup,30.0,Raw JSON
1298169,2022-11-02,2022,T20I,Bangladesh,Adelaide Oval,Adelaide,Win,5 runs,True,True,5,2,ICC Men's T20 World Cup,35.0,Raw JSON
1298176,2022-11-06,2022,T20I,Zimbabwe,Melbourne Cricket Ground,Melbourne,Win,71 runs,True,True,18,2,ICC Men's T20 World Cup,42.0,Raw JSON
1298178,2022-11-10,2022,T20I,England,Adelaide Oval,Adelaide,Loss,10 wickets,True,True,63,0,ICC Men's T20 World Cup,,Raw JSON
1322276,2022-11-20,2022,T20I,New Zealand,"Bay Oval, Mount Maunganui",Mount Maunganui,Win,65 runs,True,False,13,0,India tour of New Zealand,2.0,Raw JSON
1322277,2022-11-22,2022,T20I,New Zealand,"McLean Park, Napier",Napier,Tie,,True,False,30,0,India tour of New Zealand,3.0,Raw JSON
1348640,2023-01-03,2023,T20I,Sri Lanka,"Wankhede Stadium, Mumbai",Mumbai,Win,2 runs,True,True,29,0,Sri Lanka tour of India,1.0,Raw JSON
1348641,2023-01-05,2023,T20I,Sri Lanka,"Maharashtra Cricket Association Stadium, Pune",Pune,Loss,16 runs,True,True,12,0,Sri Lanka tour of India,2.0,Raw JSON
1348642,2023-01-07,2023,T20I,Sri Lanka,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,Win,91 runs,True,True,4,2,Sri Lanka tour of India,3.0,Raw JSON
1348643,2023-01-10,2023,ODI,Sri Lanka,"Barsapara Cricket Stadium, Guwahati",Guwahati,Win,67 runs,True,True,14,1,Sri Lanka tour of India,1.0,Raw JSON
1348644,2023-01-12,2023,ODI,Sri Lanka,"Eden Gardens, Kolkata",Kolkata,Win,4 wickets,True,True,36,0,Sri Lanka tour of India,2.0,Raw JSON
1348646,2023-01-18,2023,ODI,New Zealand,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Win,12 runs,True,True,28,1,New Zealand tour of India,1.0,Raw JSON
1348647,2023-01-21,2023,ODI,New Zealand,"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur,Win,8 wickets,False,True,0,2,New Zealand tour of India,2.0,Raw JSON
1348648,2023-01-24,2023,ODI,New Zealand,"Holkar Cricket Stadium, Indore",Indore,Win,90 runs,True,True,54,1,New Zealand tour of India,3.0,Raw JSON
1348649,2023-01-27,2023,T20I,New Zealand,"JSCA International Stadium Complex, Ranchi",Ranchi,Loss,21 runs,True,True,21,0,New Zealand tour of India,1.0,Raw JSON
1348650,2023-01-29,2023,T20I,New Zealand,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Win,6 wickets,True,True,15,1,New Zealand tour of India,2.0,Raw JSON
1348651,2023-02-01,2023,T20I,New Zealand,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Win,168 runs,True,True,30,4,New Zealand tour of India,3.0,Raw JSON
1348656,2023-03-17,2023,ODI,Australia,"Wankhede Stadium, Mumbai",Mumbai,Win,5 wickets,True,True,25,1,Australia tour of India,1.0,Raw JSON
1348657,2023-03-19,2023,ODI,Australia,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,Loss,10 wickets,True,True,1,0,Australia tour of India,2.0,Raw JSON
